Parameter,Coefficient,Std_Error,t_Statistic,p_Value
omega,0.0340001599906731,0.0187962607139775,1.80887893119026,0.0704698142586884
alpha,0.0678244403785743,0.0215722746480572,3.14405603883235,0.00166623528184662
gamma,0.0232996956298653,0.0205797495458461,1.13216614118456,0.257564592066696
beta,0.903450973329745,0.0194736178886489,46.3935863636496,0
